a	1	3300
b	3302	2000
a	5303	3300
b	8604	2000
a	10605	3300
b	13906	2000
a	15907	3300
b	19208	2000
a	21209	3300
b	24510	2000
a	26511	3300
b	29812	2000
a	31813	3300
b	35114	2000
a	37115	3300
b	40416	2000
a	42417	3300
b	45718	2000
a	47719	3300
b	51020	2000
a	53021	3300
b	56322	2000
a	58323	3300
b	61624	2000
a	63625	3300
b	66926	2000
